;avg_throughput;latency_90th;n_clients;threads_per_client;total_threads
0;9.292134831460674;14.220419;2.0;1.0;2.0
1;18.55056179775281;13.7755792;1.0;4.0;4.0
2;37.04494382022472;15.2545978;1.0;8.0;8.0
3;37.04494382022472;14.7462925;2.0;4.0;8.0
4;64.54545454545455;17.1409744;2.0;7.0;14.0
5;47.61797752808989;194.299694;1.0;16.0;16.0
6;73.7159090909091;17.880657;2.0;8.0;16.0
7;82.61797752808988;18.8351779;2.0;9.0;18.0
8;91.68539325842697;18.170242;2.0;10.0;20.0
9;100.21348314606742;18.5275795;2.0;11.0;22.0
10;106.28089887640449;40.7142632;2.0;12.0;24.0
11;95.06666666666666;119.11842919999998;2.0;14.0;28.0
12;47.7;496.7540257;1.0;30.0;30.0
13;94.47777777777777;182.03476560000001;2.0;15.0;30.0
14;48.522222222222226;499.1406892;1.0;32.0;32.0
15;93.16666666666667;190.5170891;2.0;16.0;32.0
16;46.67777777777778;901.0666655;1.0;64.0;64.0
