;avg_throughput;latency_90th;n_clients;threads_per_client;total_threads
0;8,747474747474747;5,277522899999999;1,0;2,0;2,0
1;17,34;4,8615097;1,0;4,0;4,0
2;34,49;7,615046;1,0;8,0;8,0
3;34,64646464646464;7,148025;2,0;4,0;8,0
4;65,52525252525253;38,998365200000045;1,0;16,0;16,0
5;67,29702970297029;10,267889199999999;2,0;8,0;16,0
6;83,9090909090909;11,034739800000004;2,0;10,0;20,0
7;98,81818181818181;17,2509036;2,0;12,0;24,0
8;105,03;21,089345;2,0;14,0;28,0
9;62,515151515151516;208,0873814;1,0;32,0;32,0
10;101,125;48,89497269999999;2,0;16,0;32,0
11;59,875;328,2595849999996;1,0;64,0;64,0
