;avg_throughput;latency_90th;n_clients;threads_per_client;total_threads
0;9,666666666666666;5,1543798;2,0;1,0;2,0
1;19,322222222222223;5,295279799999999;1,0;4,0;4,0
2;38,7;5,6390226;1,0;8,0;8,0
3;38,77272727272727;5,2521784;2,0;4,0;8,0
4;67,62222222222222;5,4559573;2,0;7,0;14,0
5;77,03333333333333;5,8314685;1,0;16,0;16,0
6;76,22222222222223;5,2891691;2,0;8,0;16,0
7;86,72222222222223;5,1463161;2,0;9,0;18,0
8;96,5111111111111;6,495708000000003;2,0;10,0;20,0
9;48,37777777777778;5,1881502;2,0;11,0;22,0
10;115,56179775280899;9,9449872;2,0;12,0;24,0
11;135,06666666666666;6,1981902;2,0;14,0;28,0
12;87,54444444444445;99,1161896;1,0;30,0;30,0
13;144,07777777777778;5,915133;2,0;15,0;30,0
14;90,4;97,5368894;1,0;32,0;32,0
15;154,23333333333332;5,905491;2,0;16,0;32,0
16;73,97777777777777;284,04981400000014;1,0;64,0;64,0
